iter	Passed	Remaining
0	1	115
1	1	96
2	2	86
3	3	78
4	4	80
5	4	77
6	5	75
7	6	73
8	7	71
9	7	70
10	8	68
11	9	67
12	9	66
13	10	65
14	11	64
15	12	63
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	59
23	18	58
24	19	58
25	20	57
26	21	57
27	21	56
28	22	55
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	41
47	37	40
48	37	39
49	38	38
50	39	37
51	40	36
52	40	36
53	41	35
54	42	34
55	43	34
56	44	33
57	45	32
58	46	31
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	58	18
76	59	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	72	5
93	73	4
94	73	3
95	74	3
96	75	2
97	76	1
98	77	0
99	78	0
