iter	Passed	Remaining
0	4	4388
1	5	2795
2	6	2219
3	7	1978
4	12	2574
5	14	2321
6	18	2618
7	19	2478
8	21	2336
9	22	2222
10	23	2115
11	33	2749
12	34	2651
13	35	2532
14	37	2433
15	38	2346
16	40	2338
17	41	2282
18	43	2225
19	46	2255
20	47	2215
21	48	2167
22	50	2128
23	51	2084
24	52	2035
25	52	1982
26	55	2011
27	58	2026
28	60	2023
29	62	2009
30	63	1981
31	64	1957
32	65	1927
33	66	1900
34	70	1955
35	78	2093
36	80	2102
37	81	2073
38	85	2102
39	87	2091
40	88	2060
41	93	2138
42	95	2118
43	96	2095
44	97	2069
45	99	2070
46	101	2047
47	102	2041
48	105	2048
49	110	2091
50	111	2068
51	112	2057
52	114	2042
53	121	2126
54	130	2237
55	131	2224
56	144	2390
57	146	2380
58	148	2366
59	149	2344
60	151	2327
61	152	2303
62	160	2386
63	161	2365
64	162	2344
65	164	2321
66	164	2295
67	165	2269
68	166	2246
69	167	2221
70	172	2258
71	173	2238
72	174	2220
73	175	2197
74	176	2175
75	177	2153
76	177	2131
77	178	2110
78	179	2089
79	180	2071
80	180	2052
81	181	2033
82	182	2011
83	185	2021
84	186	2006
85	187	1995
86	188	1978
87	189	1961
88	190	1944
89	190	1929
90	191	1915
91	192	1900
92	193	1885
93	194	1870
94	194	1855
95	195	1841
96	196	1827
97	200	1840
98	201	1831
99	202	1818
100	202	1806
101	203	1794
102	204	1782
103	205	1770
104	206	1757
105	206	1745
106	207	1733
107	208	1723
108	209	1712
109	210	1701
110	216	1735
111	217	1726
112	218	1714
113	219	1703
114	220	1693
115	220	1683
116	221	1671
117	222	1661
118	223	1650
119	223	1640
120	224	1632
121	225	1622
122	227	1621
123	228	1616
124	229	1608
125	230	1601
126	231	1593
127	232	1585
128	233	1578
129	235	1572
130	247	1641
131	248	1635
132	249	1628
133	250	1621
134	252	1615
135	262	1669
136	264	1663
137	265	1657
138	266	1651
139	269	1655
140	271	1655
141	272	1645
142	276	1659
143	278	1657
144	279	1650
145	281	1644
146	285	1654
147	286	1649
148	291	1664
149	293	1664
150	294	1658
151	295	1651
152	300	1663
153	305	1677
154	307	1673
155	308	1667
156	313	1683
157	317	1693
158	319	1687
159	320	1680
160	320	1671
161	321	1664
162	322	1656
163	329	1677
164	335	1696
165	336	1691
166	338	1687
167	339	1682
168	340	1675
169	341	1668
170	342	1662
171	347	1672
172	348	1667
173	349	1659
174	350	1652
175	351	1647
176	353	1643
177	354	1636
178	355	1629
179	355	1621
180	356	1613
181	357	1606
182	358	1598
183	361	1603
184	362	1599
185	363	1592
186	364	1585
187	365	1580
188	366	1574
189	367	1568
190	368	1562
191	369	1556
192	371	1554
193	374	1555
194	377	1556
195	377	1550
196	379	1548
197	381	1543
198	381	1537
199	382	1531
200	384	1527
201	388	1535
202	390	1534
203	392	1532
204	394	1529
205	395	1524
206	396	1518
207	397	1515
208	408	1545
209	409	1542
210	411	1537
211	412	1532
212	413	1528
213	418	1538
214	420	1535
215	426	1547
216	431	1557
217	434	1556
218	435	1552
219	436	1547
220	437	1541
221	438	1536
222	439	1530
223	446	1547
224	448	1544
225	449	1539
226	451	1537
227	452	1533
228	454	1528
229	455	1523
230	456	1519
231	462	1531
232	467	1539
233	468	1534
234	470	1532
235	471	1526
236	472	1520
237	473	1517
238	475	1512
239	475	1507
240	476	1501
241	477	1495
242	478	1490
243	479	1485
244	480	1479
245	480	1474
246	481	1468
247	482	1462
248	483	1458
249	484	1452
250	485	1447
251	485	1442
252	487	1438
253	488	1434
254	489	1430
255	490	1424
256	491	1419
257	491	1414
258	492	1409
259	493	1403
260	494	1400
261	495	1395
262	496	1390
263	497	1385
264	500	1387
265	501	1383
266	502	1378
267	502	1373
268	503	1368
269	504	1363
270	505	1358
271	506	1354
272	507	1350
273	509	1349
274	511	1347
275	514	1349
276	515	1346
277	517	1343
278	520	1344
279	521	1341
280	522	1336
281	523	1332
282	524	1328
283	524	1323
284	525	1318
285	529	1322
286	531	1319
287	533	1317
288	535	1316
289	537	1315
290	538	1311
291	540	1309
292	543	1312
293	545	1309
294	547	1308
295	549	1307
296	550	1304
297	554	1306
298	557	1306
299	558	1303
300	560	1301
301	561	1297
302	569	1309
303	572	1310
304	574	1308
305	576	1306
306	577	1304
307	579	1301
308	580	1297
309	583	1299
310	587	1300
311	588	1297
312	590	1295
313	591	1291
314	592	1287
315	593	1283
316	600	1294
317	604	1295
318	605	1293
319	607	1290
320	608	1286
321	609	1282
322	613	1285
323	614	1282
324	620	1288
325	621	1284
326	624	1285
327	626	1282
328	628	1282
329	629	1278
330	634	1282
331	635	1278
332	636	1274
333	640	1276
334	641	1273
335	643	1271
336	644	1268
337	645	1265
338	647	1261
339	648	1257
340	652	1261
341	653	1258
342	655	1254
343	656	1251
344	657	1247
345	658	1244
346	667	1256
347	669	1253
348	670	1250
349	671	1246
350	672	1243
351	673	1239
352	674	1236
353	675	1232
354	682	1240
355	684	1238
356	686	1236
357	687	1233
358	690	1233
359	692	1231
360	693	1228
361	694	1224
362	696	1222
363	697	1218
364	698	1215
365	699	1211
366	700	1208
367	701	1204
368	702	1200
369	705	1200
370	707	1198
371	708	1195
372	708	1191
373	709	1187
374	710	1183
375	711	1180
376	711	1176
377	712	1172
378	713	1169
379	714	1165
380	715	1161
381	715	1157
382	716	1154
383	720	1155
384	721	1152
385	722	1148
386	723	1145
387	723	1141
388	724	1137
389	725	1134
390	726	1131
391	727	1128
392	728	1124
393	728	1120
394	729	1117
395	730	1113
396	732	1113
397	733	1109
398	734	1106
399	735	1102
400	735	1099
401	736	1095
402	737	1092
403	737	1088
404	738	1085
405	739	1082
406	741	1080
407	742	1076
408	743	1073
409	744	1071
410	747	1071
411	748	1068
412	749	1065
413	750	1062
414	751	1058
415	751	1055
416	752	1052
417	753	1048
418	754	1045
419	754	1042
420	755	1038
421	756	1035
422	756	1032
423	757	1029
424	758	1026
425	759	1022
426	760	1021
427	761	1018
428	762	1015
429	763	1012
430	764	1009
431	765	1005
432	765	1002
433	766	999
434	767	996
435	767	993
436	768	990
437	769	987
438	770	984
439	770	980
440	771	977
441	772	974
442	774	974
443	775	971
444	776	969
445	778	966
446	778	963
447	779	960
448	780	957
449	781	954
450	781	951
451	782	948
452	783	945
453	784	942
454	784	940
455	785	937
456	786	934
457	788	933
458	790	931
459	791	928
460	792	926
461	793	924
462	794	921
463	795	919
464	796	916
465	797	913
466	797	910
467	798	907
468	799	905
469	800	902
470	801	900
471	802	898
472	804	895
473	805	893
474	806	891
475	807	888
476	808	885
477	808	883
478	809	880
479	810	877
480	811	875
481	811	872
482	812	869
483	813	866
484	813	864
485	817	864
486	818	861
487	818	859
488	819	856
489	820	853
490	821	851
491	822	848
492	822	846
493	823	843
494	824	840
495	824	838
496	825	835
497	826	833
498	827	830
499	827	827
500	828	825
501	831	824
502	832	822
503	832	819
504	833	817
505	834	814
506	834	811
507	835	809
508	836	806
509	837	804
510	837	801
511	838	799
512	839	796
513	840	794
514	840	791
515	841	789
516	842	787
517	846	787
518	847	785
519	847	782
520	848	780
521	849	777
522	850	775
523	850	773
524	851	770
525	852	768
526	853	765
527	853	763
528	854	760
529	855	758
530	856	756
531	857	754
532	859	753
533	860	750
534	861	748
535	861	746
536	862	743
537	863	741
538	863	738
539	864	736
540	865	734
541	866	731
542	867	729
543	868	728
544	870	727
545	874	726
546	875	724
547	876	723
548	877	721
549	879	719
550	880	717
551	881	715
552	882	713
553	882	710
554	884	708
555	885	706
556	887	706
557	889	704
558	890	702
559	891	700
560	891	697
561	892	695
562	893	693
563	894	691
564	895	689
565	896	687
566	897	685
567	898	683
568	902	683
569	903	681
570	904	679
571	905	677
572	906	675
573	907	673
574	908	671
575	909	669
576	909	667
577	910	664
578	912	663
579	916	663
580	918	662
581	921	661
582	922	659
583	923	657
584	924	655
585	925	653
586	926	651
587	926	649
588	927	647
589	928	645
590	931	644
591	932	642
592	932	640
593	933	638
594	934	636
595	936	634
596	937	632
597	937	630
598	939	628
599	941	627
600	946	628
601	947	626
602	948	624
603	949	622
604	950	620
605	951	618
606	952	616
607	953	614
608	954	612
609	955	610
610	963	613
611	966	612
612	967	610
613	968	608
614	969	606
615	969	604
616	970	602
617	971	600
618	974	599
619	975	597
620	975	595
621	976	593
622	977	591
623	978	589
624	978	587
625	979	585
626	980	583
627	981	581
628	981	579
629	982	577
630	983	575
631	984	573
632	985	571
633	985	569
634	988	568
635	989	566
636	990	564
637	990	562
638	991	560
639	992	558
640	993	556
641	993	554
642	994	552
643	995	550
644	996	548
645	997	546
646	997	544
647	998	542
648	999	540
649	999	538
650	1002	537
651	1003	535
652	1004	533
653	1005	531
654	1005	529
655	1006	527
656	1007	526
657	1008	524
658	1009	522
659	1010	520
660	1010	518
661	1011	516
662	1012	514
663	1012	512
664	1013	510
665	1014	508
666	1017	507
667	1018	506
668	1019	504
669	1020	502
670	1021	500
671	1022	499
672	1023	497
673	1024	495
674	1025	493
675	1027	492
676	1028	490
677	1030	489
678	1031	487
679	1032	485
680	1032	483
681	1033	481
682	1034	480
683	1035	478
684	1036	476
685	1036	474
686	1037	472
687	1038	470
688	1039	469
689	1039	467
690	1040	465
691	1041	463
692	1041	461
693	1042	459
694	1045	458
695	1046	456
696	1046	455
697	1047	453
698	1048	451
699	1049	449
700	1050	448
701	1051	446
702	1051	444
703	1052	442
704	1053	440
705	1054	439
706	1054	437
707	1055	435
708	1056	433
709	1057	431
710	1059	430
711	1061	429
712	1062	427
713	1063	426
714	1064	424
715	1065	422
716	1066	420
717	1066	418
718	1067	417
719	1068	415
720	1068	413
721	1069	411
722	1070	410
723	1071	408
724	1071	406
725	1075	405
726	1076	404
727	1078	402
728	1079	401
729	1080	399
730	1081	398
731	1082	396
732	1083	394
733	1083	392
734	1084	391
735	1085	389
736	1086	387
737	1086	385
738	1087	384
739	1088	382
740	1091	381
741	1093	380
742	1095	378
743	1096	377
744	1098	375
745	1098	374
746	1099	372
747	1100	370
748	1101	369
749	1101	367
750	1102	365
751	1105	364
752	1107	363
753	1108	361
754	1109	359
755	1110	358
756	1111	356
757	1112	355
758	1112	353
759	1113	351
760	1114	350
761	1115	348
762	1116	346
763	1118	345
764	1119	344
765	1121	342
766	1122	341
767	1123	339
768	1124	337
769	1124	336
770	1125	334
771	1126	332
772	1127	331
773	1127	329
774	1128	327
775	1129	325
776	1130	324
777	1133	323
778	1134	321
779	1136	320
780	1137	318
781	1138	317
782	1139	315
783	1147	316
784	1149	314
785	1150	313
